2023-11-20 19:45:48.313 [info] Эксперимент «pythonPromptNewFormatterExt» активен
2023-11-20 19:45:48.313 [info] Эксперимент «pythonPromptNewToolsExt» активен
2023-11-20 19:45:48.313 [info] Эксперимент «pythonRecommendTensorboardExt» активен
2023-11-20 19:45:48.313 [info] Эксперимент «pythonREPLSmartSendcf» активен
2023-11-20 19:45:48.314 [info] Эксперимент «pythonTestAdapter» активен
2023-11-20 19:45:48.367 [info] Default formatter is set to null for workspace /workspaces/144946272
2023-11-20 19:56:39.812 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:42.211 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:45.692 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:48.268 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 20:09:40.866 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:09:46.592 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:09:49.357 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:09:53.372 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:09:57.822 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:02.039 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:06.264 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:10.217 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:16.136 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:20.437 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:32.311 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:40.399 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:41.843 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:43.377 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:48.981 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:50.751 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:10:52.800 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:05.129 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:09.376 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:11.552 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:13.368 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:15.945 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:23.612 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:26.957 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:32.158 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:33.669 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:36.181 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:40.709 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:46.689 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:50.311 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:53.100 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:11:55.830 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:01.160 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:04.512 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:06.653 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:10.697 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:14.333 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:16.565 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:19.973 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:22.693 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:29.872 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:33.149 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:35.393 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:41.473 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:52.209 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:54.984 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:12:57.225 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:00.121 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:06.072 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:07.704 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:11.325 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:18.860 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:22.529 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:25.903 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:29.160 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:31.622 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:35.052 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:37.802 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:41.413 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:46.661 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:52.937 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:13:54.721 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:00.315 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:03.361 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:05.788 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:09.068 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:12.805 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:18.301 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:22.116 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:25.953 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:28.123 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:29.828 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:33.820 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:37.249 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:40.641 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:14:43.717 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:10.687 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:14.061 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:18.897 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:22.422 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:33.419 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:36.309 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:41.189 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:45.280 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:47.576 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:50.173 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:55.096 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:15:58.728 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:01.073 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:02.497 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:06.840 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:12.199 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:15.380 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:18.564 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:23.709 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:29.549 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:33.293 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:37.537 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:43.905 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:49.672 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:54.117 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:16:55.810 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:00.679 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:02.996 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:09.246 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:12.660 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:18.396 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:22.401 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:26.157 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:29.550 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:31.641 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:34.960 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:37.462 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:41.265 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:43.765 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:47.721 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:49.173 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:50.493 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:53.564 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:17:58.012 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:00.627 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:03.790 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:09.112 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:12.238 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:21.533 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:26.621 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:29.361 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:34.856 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:36.269 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:44.485 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:47.596 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:18:55.753 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:01.185 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:05.856 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:09.868 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:13.080 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:16.016 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:18.956 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:26.221 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:27.725 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:32.198 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:33.690 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:36.693 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:38.496 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:41.537 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:44.645 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:46.966 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:50.064 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:54.381 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:19:59.748 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:20:02.488 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:20:05.205 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:20:17.636 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:20:21.368 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:20:25.929 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:20:29.469 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
2023-11-20 20:20:32.391 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/coffee/coffee.py
